genres,Genre_1,Genre_2,imdb_rating,length,rank_in_year,rating,release_date,studio,title,year
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,7.2,144,5,PG-13,3-Jul-07,DreamWorks / Paramount,Transformers,2007
"Family
Comedy
Animation",Family,Comedy,8,111,6,G,29-Jun-07,Disney / Pixar,Ratatouille,2007
"Thriller
Sci-Fi
Drama",Thriller,Sci-Fi,7.2,101,7,PG-13,14-Dec-07,Warner Bros.,I Am Legend,2007
"Comedy
Animation
Adventure",Comedy,Animation,7.4,87,8,PG-13,27-Jul-07,Fox,The Simpsons Movie,2007
"Mystery
Adventure
Action",Mystery,Adventure,6.5,124,9,PG,21-Dec-07,Disney,National Treasure: Book of Secrets,2007
"War
Fantasy
Action",War,Fantasy,7.8,117,10,R,9-Mar-07,Warner Bros. / Legendary,300,2007
"Fantasy
Adventure
Action",Fantasy,Adventure,7.3,151,1,PG-13,7-Jul-06,Disney,Pirates of the Caribbean: Dead Man's Chest,2006
"Thriller
Mystery",Thriller,Mystery,6.5,149,2,PG-13,19-May-06,Columbia,The Da Vinci Code,2006
"Animation
Adventure
Action",Animation,Adventure,6.9,91,3,PG,31-Mar-06,Fox / Blue Sky,Ice Age: The Meltdown,2006
"Thriller
Adventure
Action",Thriller,Adventure,8,144,4,PG-13,17-Nov-06,MGM / Columbia,Casino Royale,2006
"Comedy
Adventure
Action",Comedy,Adventure,6.4,108,5,PG,22-Dec-06,Fox,Night at the Museum,2006
"Comedy
Animation
Adventure",Comedy,Animation,7.2,117,6,G,9-Jun-06,Disney / Pixar,Cars,2006
"Sci-Fi
Adventure
Action",Sci-Fi,Adventure,6.8,104,7,PG-13,26-May-06,Fox,X-Men: The Last Stand,2006
"Thriller
Adventure
Action",Thriller,Adventure,6.8,126,8,PG-13,5-May-06,Paramount,Mission: Impossible III,2006
"Fantasy
Adventure
Action",Fantasy,Adventure,6.1,154,9,PG-13,28-Jun-06,Warner Bros. / Village Roadshow,Superman Returns,2006
"Family
Comedy
Animation",Family,Comedy,6.5,108,10,PG,17-Nov-06,Warner Bros.,Happy Feet,2006
"Fantasy
Family
Adventure",Fantasy,Family,7.6,157,1,PG-13,18-Nov-05,Warner Bros.,Harry Potter and the Goblet of Fire,2005
"Fantasy
Adventure
Action",Fantasy,Adventure,7.7,140,2,PG-13,19-May-05,20th Century Fox / Lucasfilm,Star Wars Episode III: Revenge of the Sith,2005
"Fantasy
Family
Adventure",Fantasy,Family,6.9,143,3,PG,9-Dec-05,Disney,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
"Thriller
Sci-Fi
Adventure",Thriller,Sci-Fi,6.5,116,4,PG-13,29-Jun-05,Paramount / DreamWorks,War of the Worlds,2005
"Drama
Adventure
Action",Drama,Adventure,7.3,187,5,PG-13,14-Dec-05,Universal,King Kong,2005
"Comedy
Animation
Adventure",Comedy,Animation,6.9,86,6,PG,27-May-05,DreamWorks,Madagascar,2005
